DatGeracaoConjuntoDados;NumAno;DscClassificacao;DescricaoCategoria;SigAgente;NumCNPJ;NumOrdemIASC;MdaIndicadorQualidade;MdaIndicadorSatisfacao;MdaIndicadorFidelidade;MdaIndicadorValor;MdaIndicadorConfianca;MdaSatisfacaoR2;MdaFidelidadeR2;MdaValorR2;MdaConfiancaR2;MdaPesoQualidadeInformacao;MdaPesoQualidadeAcesso;MdaPesoQualidadeConfiabilidade;MdaPesoSatisfacaoS1;MdaPesoSatisfacaoS2;MdaPesoSatisfacaoS3;MdaPesoFidelidadeV33;MdaPesoFidelidadeV34;MdaPesoFidelidadeV35;MdaPesoFidelidadeV36;MdaPesoValorV28;MdaPesoValorV29;MdaPesoValorV30;MdaPesoValorV31;MdaPesoValorV91;MdaPesoConfiancaV37;MdaPesoConfiancaV38;MdaPesoConfiancaV39;MdaPesoConfiancaV40;MdaMediaQualidadeInformacaoV15;MdaMediaQualidadeInformacaoV16;MdaMediaQualidadeInformacaoV21;MdaMediaQualidadeInformacaoV22;MdaMediaQualidadeInformacaoV23;MdaMediaQualidadeInformacaoV24;MdaMediaQualidadeInformacaoV90;MdaMediaQualidadeAcessoV10;MdaMediaQualidadeAcessoV11;MdaMediaQualidadeAcessoV12;MdaMediaQualidadeAcessoV17;MdaMediaQualidadeAcessoV19;MdaMediaQualidadeConfiabilidadeV8;MdaMediaQualidadeConfiabilidadeV9;MdaMediaQualidadeConfiabilidadeV13;MdaMediaQualidadeConfiabilidadeV14;MdaMediaQualidadeConfiabilidadeV18;MdaMediaQualidadeConfiabilidadeV20;MdaMediaSatisfacaoS1;MdaMediaSatisfacaoS2;MdaMediaSatisfacaoS3;MdaMediaFidelidadeV33;MdaMediaFidelidadeV34;MdaMediaFidelidadeV35;MdaMediaFidelidadeV36;MdaMediaFidelidadeV93;MdaMediaFidelidadeV94;MdaMediaValorV28;MdaMediaValorV29;MdaMediaValorV30;MdaMediaValorV31;MdaMediaValorV91;MdaMediaValorV92;MdaMediaConfiancaV37;MdaMediaConfiancaV38;MdaMediaConfiancaV39;MdaMediaConfiancaV40;MdaMediaQualidadeInformacao;MdaMediaQualidadeAcesso;MdaMediaQualidadeConfiabilidade;MdaMediaQualidade;MdaMediaSatisfacao;MdaMediaFidelidade;MdaMediaValor;MdaMediaConfianca;MdaDsvPadQualidadeInformacaoV15;MdaDsvPadQualidadeInformacaoV16;MdaDsvPadQualidadeInformacaoV21;MdaDsvPadQualidadeInformacaoV22;MdaDsvPadQualidadeInformacaoV23;MdaDsvPadQualidadeInformacaoV24;MdaDsvPadQualidadeInformacaoV90;MdaDsvPadQualidadeAcessoV10;MdaDsvPadQualidadeAcessoV11;MdaDsvPadQualidadeAcessoV12;MdaDsvPadQualidadeAcessoV17;MdaDsvPadQualidadeAcessoV19;MdaDsvPadQualidadeConfiabilidadeV8;MdaDsvPadQualidadeConfiabilidadeV9;MdaDsvPadQualidadeConfiabilidadeV13;MdaDsvPadQualidadeConfiabilidadeV14;MdaDsvPadQualidadeConfiabilidadeV18;MdaDsvPadQualidadeConfiabilidadeV20;MdaDsvPadSatisfacaoS1;MdaDsvPadSatisfacaoS2;MdaDsvPadSatisfacaoS3;MdaDsvPadFidelidadeV33;MdaDsvPadFidelidadeV34;MdaDsvPadFidelidadeV35;MdaDsvPadFidelidadeV36;MdaDsvPadFidelidadeV93;MdaDsvPadFidelidadeV94;MdaDsvPadValorV28;MdaDsvPadValorV29;MdaDsvPadValorV30;MdaDsvPadValorV31;MdaDsvPadValorV91;MdaDsvPadValorV92;MdaDsvPadConfiancaV37;MdaDsvPadConfiancaV38;MdaDsvPadConfiancaV39;MdaDsvPadConfiancaV40;MdaDsvPadQualidadeInformacao;MdaDsvPadQualidadeAcesso;MdaDsvPadQualidadeConfiabilidade;MdaDsvPadQualidade;MdaDsvPadSatisfacao;MdaDsvPadFidelidade;MdaDsvPadValor;MdaDsvPadConfianca;MdaCoeficienteQualidadeValor;MdaCoeficienteQualidadeSatisfacao;MdaCoeficienteValorSatisfacao;MdaCoeficienteQualidadeConfianca;MdaCoeficienteSatisfacaoConfianca;MdaCoeficienteConfiancaFidelidade;MdaCoeficienteSatisfacaoFidelidade;QtdSexoV11;QtdSexoV12;QtdFaixaEtariaV21;QtdFaixaEtariaV22;QtdFaixaEtariaV23;QtdFaixaEtariaV24;QtdFaixaEtariaV25;QtdFaixaEtariaV26;QtdFaixaEtariaV27;QtdFaixaEtariaV28;QtdFaixaEtariaV29;QtdEscolaridadeV31;QtdEscolaridadeV32;QtdEscolaridadeV33;QtdEscolaridadeV34;QtdEscolaridadeV35;QtdEscolaridadeV36;QtdEscolaridadeV37;QtdEscolaridadeV38;QtdEscolaridadeV39;QtdRendaV41;QtdRendaV42;QtdRendaV43;QtdRendaV44;QtdRendaV45;QtdRendaV46;QtdRendaV47
13/06/2023;2021;Concessionária;Sul, Sudeste e Centro-Oeste até 30 mil unidades consumidoras;Mux Energia;9,76E+13;1;88,71;73;32,67;30,85;90,71;0,4061;0,2882;0,1638;0,5166;0,87965897;0,90236057;0,90312614;0,77012755;0,81048526;0,77539304;1;;;;0,91092535;;;;0,91161121;0,88362232;0,89426056;;;;8,1375;;;;8,502092;9,076596;8,918367;9,138393;9,603376;9,657025;;9,22314;9,2125;;9,050459;8,755274;8,955947;7,966942;7,46281;7,2875;6,880165;;;;7,738589;8,7875;3,603306;;;;3,950413;;9,2625;9,06639;;;8,572063;9,32929;9,039464;8,980272;7,572417;6,880165;3,77686;9,164445;;4,188;;;;1,989;1,327;1,331;1,368;0,791;0,948;;1,108;1,074;;1,327;1,556;1,526;1,726;1,755;1,91;1,756;;;;1,415;1,612;1,762;;;;1,794;;1,128;1,337;;;1,522;0,786;1,009;0,991;1,411;1,756;1,62;1,097;0,4048;0,4545;0,2835;0,4326;0,3562;0,2718;0,3279;82;160;;11;42;37;41;46;33;32;;;122;22;24;51;2;15;6;;20;107;102;12;1;;
13/06/2023;2021;Concessionária;Sul, Sudeste e Centro-Oeste até 30 mil unidades consumidoras;Hidropan;9,20E+13;2;83,5;66,46;28,08;25,73;82,9;0,4206;0,2677;0,1477;0,5765;0,89636473;0,88783523;0,89837157;0,82546542;0,76996268;0,80595253;1;;;;0,91314926;;;;0,91480213;0,89819085;0,90381693;;;;7,74569;;;;8,128755;8,550218;8,459459;8,53125;9,240909;9,514644;;8,629167;8,677824;;8,472637;8,2625;8,310502;7,291667;6,78903;6,847458;6,054393;;;;7,1625;7,75641;3,016667;;;;3,613445;;8,627615;8,295359;;;8,141554;8,936566;8,470526;8,516215;6,976051;6,054393;3,315056;8,461487;;3,864;;;;1,704;1,427;1,528;1,452;1,158;0,791;;1,231;1,214;;1,429;1,47;1,635;1,671;1,535;1,837;1,487;;;;1,596;1,905;1,611;;;;1,687;;1,381;1,552;;;1,374;0,916;1,058;1;1,348;1,487;1,507;1,322;0,3844;0,4176;0,3594;0,4692;0,3743;0,2741;0,3052;87;153;;18;38;59;51;33;15;26;;;84;22;14;70;13;30;7;;16;95;104;22;1;2;
13/06/2023;2021;Concessionária;Nordeste;Sulgipe;1,33E+13;3;81,46;66,34;31,01;30,05;82,24;0,4188;0,3207;0,105;0,6019;0,89083016;0,90022186;0,92671657;0,82740488;0,79344102;0,78696157;1;;;;0,92005803;;;;0,92079806;0,93291797;0,93524773;;;;7,395349;;;;7,881757;8,299663;8,202166;8,370748;8,900332;9,271242;;8,611111;8,4;;8,533557;8,364238;8,293103;7,236842;7,039474;6,621262;6,582237;;;;7,428105;8,317726;3,588816;;;;3,820261;;8,554455;8,25;;;7,858923;8,686122;8,440402;8,328482;6,965859;6,582237;3,704539;8,402228;;5,088;;;;2,237;2,123;2,095;2,263;1,881;1,543;;1,833;2,016;;1,93;1,987;2,197;2,019;1,798;2,298;1,969;;;;1,751;2,149;1,895;;;;1,943;;2,081;2,339;;;1,886;1,444;1,546;1,472;1,637;1,969;1,766;2,065;0,3241;0,4769;0,2995;0,4606;0,3961;0,316;0,3097;101;205;;43;71;85;58;30;7;12;;;130;20;30;89;4;25;8;;125;138;38;5;;;
13/06/2023;2021;Concessionária;Sul e Sudeste acima de 30 mil e até 400 mil unidades consumidoras;Cooperaliança;8,36E+13;4;79,92;64,11;27,81;26,5;75,67;0,4497;0,2548;0,1973;0,5743;0,85906453;0,88211532;0,89398824;0,79391186;0,80138803;0,7659836;1;;;;0,91201447;;;;0,91472113;0,90996201;0,91370283;;;;6,982759;;;;7,590106;7,772388;8,211207;8,390681;9,106762;9,174342;;8,743421;8,745875;;8,377863;8,29;7,772908;7,318033;6,567657;6,414141;6,006667;;;;7,501661;7,696246;3,023026;;;;3,746711;;7,896907;7,724739;;;7,448418;8,720748;8,386013;8,18506;6,76661;6,006667;3,384868;7,810823;;5,19;;;;2,201;2,067;1,796;1,918;1,447;1,6;;1,3;1,446;;1,766;1,634;2,208;1,786;1,667;1,993;1,842;;;;1,38;2,151;1,725;;;;1,86;;1,968;2,174;;;1,93;1,199;1,238;1,279;1,428;1,842;1,637;1,889;0,4442;0,4568;0,3155;0,4668;0,3389;0,2892;0,2848;127;178;;18;33;48;59;84;33;30;;;125;31;12;85;9;34;9;;9;154;118;17;5;1;1
13/06/2023;2021;Concessionária;Sul e Sudeste acima de 30 mil e até 400 mil unidades consumidoras;DMED;2,37E+13;5;80,98;62,64;28,41;23,4;76,69;0,5043;0,34;0,1499;0,6542;0,89505666;0,91460661;0,91955184;0,81855504;0,83687996;0,81248072;1;;;;0,91674847;;;;0,91796678;0,90804395;0,91942528;;;;7,207273;;;;8,206186;8,103846;8,015686;7,890909;8,977528;9,461794;;8,97351;8,904437;;8,066667;8,221453;7,980159;6,963211;6,35034;6,605536;6,113712;;;;7,548495;7,731449;2,834437;;;;3,376667;;8,256944;7,551095;;;7,839101;8,586479;8,429245;8,284942;6,639696;6,113712;3,105552;7,90402;;4,736;;;;2,086;1,977;1,988;2,281;1,559;1,143;;1,359;1,331;;2,03;1,766;2,007;1,899;1,712;1,908;1,825;;;;1,783;2,194;1,66;;;;1,723;;1,708;2,357;;;1,811;1,33;1,279;1,34;1,513;1,825;1,551;1,862;0,3871;0,5058;0,3258;0,4711;0,3996;0,2893;0,3416;129;174;;23;40;63;56;49;28;44;;;67;17;16;109;11;66;17;;23;104;121;37;11;7;
13/06/2023;2021;Concessionária;Sul e Sudeste acima de 30 mil e até 400 mil unidades consumidoras;Santa Maria;2,75E+13;6;81,51;61,47;28,04;27,94;80,41;0,3886;0,2821;0,1717;0,5119;0,85536526;0,88547733;0,91233409;0,80527732;0,75803322;0,72942738;1;;;;0,91573551;;;;0,91507947;0,90743158;0,91260359;;;;7,276224;;;;7,874126;8,454861;8;8,456204;9,303571;9,056667;;8,828283;8,691525;;8,279693;8,090909;8,1875;6,83612;6,422535;6,310105;6,046823;;;;7,13468;7,926056;3,332215;;;;3,696667;;8,457338;8,017606;;;7,868404;8,704111;8,415582;8,329365;6,52292;6,046823;3,514441;8,237472;;5,042;;;;2,264;1,856;2,038;1,93;1,182;1,894;;1,495;1,725;;1,945;2,05;2,017;1,909;1,636;1,939;1,86;;;;1,588;2,132;1,804;;;;1,77;;1,866;2,13;;;1,84;1,265;1,326;1,304;1,398;1,86;1,636;1,819;0,4143;0,3934;0,346;0,4521;0,3448;0,2887;0,3174;104;197;;24;56;48;60;62;27;24;;;148;14;29;81;8;13;8;;43;179;72;7;;;
13/06/2023;2021;Concessionária;Sul e Sudeste acima de 30 mil e até 400 mil unidades consumidoras;Eletrocar;8,84E+13;7;79,07;61,21;27,28;24,03;77,86;0,4372;0,3581;0,1799;0,6145;0,86139528;0,89952649;0,89560798;0,81635346;0,80716389;0,78353349;1;;;;0,92510246;;;;0,92595159;0,92309791;0,92716389;;;;6,930796;;;;7,72973;8,212838;7,952756;7,897163;8,992908;9,417219;;8,480263;8,30033;;8,098592;7,808581;8,003597;6,920792;6,428571;6,163823;5,910891;;;;7,227723;7,596026;2,884868;;;;3,440789;;8,179402;7,83557;;;7,624454;8,565011;8,138273;8,109246;6,504395;5,910891;3,162829;8,007486;;5,188;;;;2,209;1,813;1,915;2,272;1,588;1,134;;1,582;1,794;;1,854;2,05;1,988;1,921;1,902;2,209;1,72;;;;1,67;2,316;1,652;;;;1,707;;1,782;2,082;;;1,834;1,276;1,378;1,323;1,612;1,72;1,554;1,788;0,4242;0,4509;0,3185;0,4755;0,3764;0,3296;0,3377;92;212;;26;37;64;45;65;32;35;;;146;14;17;77;13;26;11;;39;130;120;12;3;;
13/06/2023;2021;Concessionária;Sul, Sudeste e Centro-Oeste até 30 mil unidades consumidoras;Forcel;7,99E+13;8;81,74;60,99;28,03;24,21;79,88;0,4299;0,3385;0,1115;0,5092;0,85927454;0,89224486;0,87359673;0,78448638;0,74893777;0,74295697;1;;;;0,9215522;;;;0,92470044;0,89292739;0,89793533;;;;6,756303;;;;7,723849;8,684874;8,381188;8,452174;9,165975;9,153226;;8,567347;8,645161;;8,522124;8,443089;8,52521;6,709016;6,46383;6,283262;6,045267;;;;7,093117;7,561475;2,943089;;;;3,414634;;8,280992;8,097166;;;7,721675;8,788141;8,540586;8,350134;6,485369;6,045267;3,178862;8,189079;;5,03;;;;2,184;1,566;1,681;2,001;1,396;1,525;;1,703;1,593;;1,684;1,91;1,801;1,896;1,652;1,863;1,968;;;;1,785;2,614;1,656;;;;1,855;;1,918;2,102;;;1,621;1,203;1,277;1,195;1,37;1,968;1,621;1,801;0,3339;0,4629;0,3289;0,4369;0,345;0,3336;0,3273;75;173;;27;39;39;44;42;22;35;;;136;8;19;52;8;16;9;;15;156;70;6;;;1
13/06/2023;2021;Concessionária;Sul, Sudeste e Centro-Oeste até 30 mil unidades consumidoras;Chesp;1,38E+12;9;73,13;60,53;28,72;25,71;72,51;0,4176;0,1953;0,1568;0,6342;0,87903825;0,88517457;0,89683327;0,71771222;0,79630572;0,78947977;1;;;;0,9280275;;;;0,93052938;0,93439395;0,93603649;;;;6,253219;;;;7,109244;7,450216;7,322727;7,576923;8,791489;8,524793;;8,15;8,090909;;7,524017;7,411765;7,555556;6,566667;6,352697;6,435146;6,169421;;;;7,410788;7,372385;3,128099;;;;3,5;;7,686192;7,366667;;;6,93756;8,053983;7,746449;7,579331;6,451503;6,169421;3,31405;7,52643;;5,674;;;;2,606;2,348;2,243;2,318;1,786;2,289;;1,82;1,862;;2,108;2,292;2,246;1,963;1,696;2,074;1,712;;;;1,797;2,322;1,636;;;;1,823;;2,253;2,454;;;2,196;1,593;1,59;1,591;1,467;1,712;1,607;2,202;0,3959;0,4279;0,3398;0,4869;0,3938;0,2013;0,2746;93;149;;9;44;62;50;58;9;10;;;93;8;20;77;8;28;8;;24;142;53;19;3;1;
13/06/2023;2021;Concessionária;Sul e Sudeste acima de 30 mil e até 400 mil unidades consumidoras;Demei;9,53E+13;10;76,92;60,27;25,59;21,75;76,16;0,4521;0,2949;0,1386;0,61;0,89100698;0,91459049;0,92385432;0,82635473;0,81061613;0,80625831;1;;;;0,90895816;;;;0,91055493;0,927607;0,93116323;;;;6,96875;;;;7,515571;8,153846;7,37218;7,41637;8,799296;9,30363;;8,293729;8,310231;;7,605839;7,893333;7,845865;6,788779;6,284281;6,191275;5,606667;;;;7,245033;7,249147;2,657807;;;;3,255814;;8,073826;7,636678;;;7,546056;8,222869;7,9898;7,919575;6,421445;5,606667;2,956811;7,855252;;4,608;;;;2,091;1,718;2,141;2,286;1,554;1,125;;1,346;1,448;;1,975;1,715;1,986;1,893;1,712;2,13;1,695;;;;1,572;2,11;1,554;;;;1,619;;1,632;1,904;;;1,7;1,306;1,299;1,304;1,558;1,695;1,443;1,644;0,3724;0,4727;0,3245;0,4635;0,3909;0,3131;0,2854;108;195;;18;38;52;71;63;28;33;;;96;31;12;89;20;48;7;;25;125;119;27;6;;1
